Id,rank_test_score,mean_test_score,std_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_var_smoothing,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score
4,1,0.7777639751552795,0.021634653559417353,0.0007200241088867188,9.764002035552236e-05,0.00042400360107421877,1.7576220238654888e-05,1e-06,{'var_smoothing': 1e-06},0.7888198757763976,0.7625,0.8125,0.775,0.75
3,2,0.7765217391304349,0.023582573225252274,0.0007967948913574219,0.000179414947098846,0.0005254745483398438,0.00020390122256813058,1e-05,{'var_smoothing': 1e-05},0.782608695652174,0.7625,0.81875,0.76875,0.75
5,3,0.7765217391304348,0.02113676323197064,0.000683736801147461,0.0001088900640427105,0.00045166015625,8.836509183507832e-05,1e-07,{'var_smoothing': 1e-07},0.782608695652174,0.7625,0.8125,0.775,0.75
8,3,0.7765217391304348,0.02113676323197064,0.0007088184356689453,9.178341176471785e-05,0.00042591094970703127,2.0685941173588042e-05,1e-10,{'var_smoothing': 1e-10},0.782608695652174,0.7625,0.8125,0.775,0.75
11,3,0.7765217391304348,0.02113676323197064,0.0007160186767578125,8.245483802570518e-05,0.00047016143798828125,0.00011292214709539724,1e-13,{'var_smoothing': 1e-13},0.782608695652174,0.7625,0.8125,0.775,0.75
10,3,0.7765217391304348,0.02113676323197064,0.0007532596588134766,0.00016301740937007,0.000498819351196289,0.00016398431950441736,1e-12,{'var_smoothing': 1e-12},0.782608695652174,0.7625,0.8125,0.775,0.75
13,3,0.7765217391304348,0.02113676323197064,0.0007568359375,5.6982060356615475e-05,0.00043044090270996096,1.5825391260683017e-05,1e-15,{'var_smoothing': 1e-15},0.782608695652174,0.7625,0.8125,0.775,0.75
12,3,0.7765217391304348,0.02113676323197064,0.0007596969604492188,5.043093447204061e-05,0.0004926204681396484,8.559531150662729e-05,1e-14,{'var_smoothing': 1e-14},0.782608695652174,0.7625,0.8125,0.775,0.75
7,3,0.7765217391304348,0.02113676323197064,0.0007905960083007812,0.0001919728277606969,0.0005732059478759765,0.0003104241176160536,1e-09,{'var_smoothing': 1e-09},0.782608695652174,0.7625,0.8125,0.775,0.75
6,3,0.7765217391304348,0.02113676323197064,0.0009987831115722656,0.00041167120706076584,0.0004386425018310547,3.0394170508591368e-05,1e-08,{'var_smoothing': 1e-08},0.782608695652174,0.7625,0.8125,0.775,0.75
9,3,0.7765217391304348,0.02113676323197064,0.0011395454406738282,0.0008465181919009345,0.0005101680755615235,0.000169707369553423,1e-11,{'var_smoothing': 1e-11},0.782608695652174,0.7625,0.8125,0.775,0.75
2,12,0.7316304347826087,0.023120257649940273,0.00065155029296875,9.489447619295798e-05,0.0005567550659179687,0.00032412685860600985,0.0001,{'var_smoothing': 0.0001},0.6956521739130435,0.7625,0.725,0.725,0.75
1,13,0.6704114906832299,0.012104692132452818,0.0013076305389404298,0.000766143071962136,0.0007839679718017578,0.0004591323933765413,0.001,{'var_smoothing': 0.001},0.6708074534161491,0.65,0.675,0.66875,0.6875
0,14,0.6629114906832299,0.01647561628194567,0.0007251262664794922,0.00012555336977540448,0.0004268169403076172,3.597495404030908e-05,0.01,{'var_smoothing': 0.01},0.6708074534161491,0.6375,0.675,0.65,0.68125
