Id,rank_test_score,mean_test_score,std_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_min_samples_leaf,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score
627,27,0.8202562111801243,0.022897849019476932,0.0038272857666015623,0.0002160005694744787,0.002952766418457031,0.000608371570340359,entropy,10,1,7,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 7}",0.7950310559006211,0.80625,0.85625,0.8375,0.80625
578,27,0.8202562111801243,0.022554079225691342,0.003984403610229492,0.00039372950900941084,0.0024242401123046875,0.00011746726365043493,entropy,8,1,8,"{'criterion': 'entropy', 'max_depth': 8, 'min_samples_leaf': 1, 'min_samples_split': 8}",0.7950310559006211,0.79375,0.85,0.8375,0.825
726,30,0.820248447204969,0.02952217837246889,0.0038537025451660157,0.00027211248780595484,0.0025852203369140627,0.0002680525314848843,entropy,14,1,6,"{'criterion': 'entropy', 'max_depth': 14, 'min_samples_leaf': 1, 'min_samples_split': 6}",0.8012422360248447,0.79375,0.85625,0.85625,0.79375
301,30,0.820248447204969,0.02703579138578838,0.004073667526245117,0.0004763909254657984,0.002542543411254883,0.00020111097687107335,gini,12,1,6,"{'criterion': 'gini', 'max_depth': 12, 'min_samples_leaf': 1, 'min_samples_split': 6}",0.8012422360248447,0.8,0.85,0.85625,0.79375
654,32,0.8202406832298136,0.02235761447132897,0.0037238597869873047,0.00013372472818188474,0.002494192123413086,0.00015752642996057177,entropy,11,1,9,"{'criterion': 'entropy', 'max_depth': 11, 'min_samples_leaf': 1, 'min_samples_split': 9}",0.8074534161490683,0.80625,0.84375,0.85,0.79375
727,32,0.8202406832298136,0.02766745244594409,0.003998661041259765,0.00019804021382865416,0.002546405792236328,0.00021373943581238911,entropy,14,1,7,"{'criterion': 'entropy', 'max_depth': 14, 'min_samples_leaf': 1, 'min_samples_split': 7}",0.8074534161490683,0.8,0.85625,0.85,0.7875
277,32,0.8202406832298136,0.02766745244594409,0.004311656951904297,0.0006890968534216947,0.0035022735595703126,0.0017942345470387201,gini,11,1,7,"{'criterion': 'gini', 'max_depth': 11, 'min_samples_leaf': 1, 'min_samples_split': 7}",0.8074534161490683,0.8,0.85625,0.85,0.7875
183,35,0.8202329192546584,0.02536923760574779,0.003613710403442383,0.00010476829658784853,0.0024753093719482424,0.0001886584025565478,gini,7,2,8,"{'criterion': 'gini', 'max_depth': 7, 'min_samples_leaf': 2, 'min_samples_split': 8}",0.8136645962732919,0.7875,0.8625,0.83125,0.80625
626,36,0.8190139751552795,0.02467347329269734,0.004099988937377929,0.0005073072206862822,0.0026494503021240235,0.0004353829975750742,entropy,10,1,6,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 6}",0.7888198757763976,0.8,0.85625,0.8375,0.8125
250,36,0.8190139751552795,0.02467347329269734,0.004290246963500976,0.0003204940133363083,0.002835369110107422,0.00027798635456020084,gini,10,1,5,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5}",0.7888198757763976,0.8,0.85625,0.8375,0.8125
577,38,0.8190062111801243,0.021721579538999284,0.005303430557250977,0.0015909367863847633,0.002457714080810547,9.754689807170646e-05,entropy,8,1,7,"{'criterion': 'entropy', 'max_depth': 8, 'min_samples_leaf': 1, 'min_samples_split': 7}",0.7950310559006211,0.79375,0.85,0.83125,0.825
325,39,0.818998447204969,0.02352509583122439,0.00503692626953125,0.0014377863801862294,0.0034703731536865233,0.0007336149736384508,gini,13,1,5,"{'criterion': 'gini', 'max_depth': 13, 'min_samples_leaf': 1, 'min_samples_split': 5}",0.8012422360248447,0.8,0.8375,0.85625,0.8
704,40,0.8189906832298137,0.023923620815485113,0.0039135456085205075,0.00020799523151686925,0.002487373352050781,0.00017329625604608928,entropy,13,1,9,"{'criterion': 'entropy', 'max_depth': 13, 'min_samples_leaf': 1, 'min_samples_split': 9}",0.8074534161490683,0.80625,0.84375,0.85,0.7875
302,40,0.8189906832298137,0.026109665507683396,0.003923845291137695,0.00041524367841509226,0.0026506900787353514,0.00030042827624556705,gini,12,1,7,"{'criterion': 'gini', 'max_depth': 12, 'min_samples_leaf': 1, 'min_samples_split': 7}",0.8074534161490683,0.8,0.85,0.85,0.7875
679,40,0.8189906832298137,0.023923620815485113,0.0039326190948486325,0.00019872789110698816,0.002498912811279297,0.00018609271289827994,entropy,12,1,9,"{'criterion': 'entropy', 'max_depth': 12, 'min_samples_leaf': 1, 'min_samples_split': 9}",0.8074534161490683,0.80625,0.84375,0.85,0.7875
278,43,0.8189906832298135,0.028676464791237994,0.007170867919921875,0.0031729284523546895,0.0025641918182373047,0.0001726931453262997,gini,11,1,8,"{'criterion': 'gini', 'max_depth': 11, 'min_samples_leaf': 1, 'min_samples_split': 8}",0.8074534161490683,0.79375,0.85,0.85625,0.7875
557,44,0.8189829192546585,0.023327677013228992,0.0038255691528320313,0.00024546600609892726,0.002593517303466797,0.0002125946799005246,entropy,7,2,7,"{'criterion': 'entropy', 'max_depth': 7, 'min_samples_leaf': 2, 'min_samples_split': 7}",0.8136645962732919,0.7875,0.85625,0.83125,0.80625
552,45,0.8177717391304349,0.025665527106675908,0.003614473342895508,5.244588815294618e-05,0.004423999786376953,0.0016644533920936757,entropy,7,1,7,"{'criterion': 'entropy', 'max_depth': 7, 'min_samples_leaf': 1, 'min_samples_split': 7}",0.782608695652174,0.79375,0.85,0.8375,0.825
551,45,0.8177717391304349,0.025665527106675908,0.004128837585449218,0.0005966484005699526,0.00349273681640625,0.0014742617926369616,entropy,7,1,6,"{'criterion': 'entropy', 'max_depth': 7, 'min_samples_leaf': 1, 'min_samples_split': 6}",0.782608695652174,0.79375,0.85,0.8375,0.825
553,45,0.8177717391304349,0.025665527106675908,0.004420757293701172,0.0013178785230731549,0.002953052520751953,0.0011668042839269863,entropy,7,1,8,"{'criterion': 'entropy', 'max_depth': 7, 'min_samples_leaf': 1, 'min_samples_split': 8}",0.782608695652174,0.79375,0.85,0.8375,0.825
550,45,0.8177717391304349,0.025665527106675908,0.004996728897094726,0.0013892087005173562,0.0029384613037109373,0.0009160944478657236,entropy,7,1,5,"{'criterion': 'entropy', 'max_depth': 7, 'min_samples_leaf': 1, 'min_samples_split': 5}",0.782608695652174,0.79375,0.85,0.8375,0.825
575,49,0.8177639751552797,0.02318545281450524,0.00399937629699707,0.0004830591670729943,0.0027333736419677735,0.0006293803365316304,entropy,8,1,5,"{'criterion': 'entropy', 'max_depth': 8, 'min_samples_leaf': 1, 'min_samples_split': 5}",0.7888198757763976,0.79375,0.85,0.83125,0.825
576,49,0.8177639751552797,0.02318545281450524,0.004287576675415039,0.000704516284882003,0.002578592300415039,0.0001687899548619385,entropy,8,1,6,"{'criterion': 'entropy', 'max_depth': 8, 'min_samples_leaf': 1, 'min_samples_split': 6}",0.7888198757763976,0.79375,0.85,0.83125,0.825
601,51,0.8177639751552794,0.024813105855850625,0.004204177856445312,0.0005705106536862602,0.0024118423461914062,0.00016626772230458574,entropy,9,1,6,"{'criterion': 'entropy', 'max_depth': 9, 'min_samples_leaf': 1, 'min_samples_split': 6}",0.7888198757763976,0.79375,0.85625,0.83125,0.81875
600,51,0.8177639751552794,0.024813105855850625,0.004747247695922852,0.0014926980545737999,0.002618551254272461,0.0004611246335969544,entropy,9,1,5,"{'criterion': 'entropy', 'max_depth': 9, 'min_samples_leaf': 1, 'min_samples_split': 5}",0.7888198757763976,0.79375,0.85625,0.83125,0.81875
202,53,0.8177562111801242,0.020401410383093177,0.003821659088134766,0.0001266862555677726,0.002601909637451172,9.606658242095524e-05,gini,8,1,7,"{'criterion': 'gini', 'max_depth': 8, 'min_samples_leaf': 1, 'min_samples_split': 7}",0.7950310559006211,0.8,0.85,0.83125,0.8125
203,53,0.8177562111801242,0.022582461017776223,0.003937673568725586,0.0003734558485745332,0.002655220031738281,0.00046697306845233416,gini,8,1,8,"{'criterion': 'gini', 'max_depth': 8, 'min_samples_leaf': 1, 'min_samples_split': 8}",0.7950310559006211,0.79375,0.85,0.8375,0.8125
629,53,0.8177562111801242,0.019218286750368317,0.0040875434875488285,0.000487294951838078,0.0028167724609375,0.0006428417609888594,entropy,10,1,9,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 9}",0.7950310559006211,0.80625,0.84375,0.8375,0.80625
602,53,0.8177562111801242,0.023597511428525307,0.004105949401855468,0.0004859055246022769,0.002707815170288086,0.0005176026960449899,entropy,9,1,7,"{'criterion': 'entropy', 'max_depth': 9, 'min_samples_leaf': 1, 'min_samples_split': 7}",0.7950310559006211,0.79375,0.85625,0.83125,0.8125
350,57,0.8177484472049688,0.02464094665147251,0.004216146469116211,0.0009961230426773612,0.0027098655700683594,0.0004858951690232563,gini,14,1,5,"{'criterion': 'gini', 'max_depth': 14, 'min_samples_leaf': 1, 'min_samples_split': 5}",0.8012422360248447,0.79375,0.8375,0.85625,0.8
729,58,0.8177406832298137,0.02470711114229356,0.0037132740020751954,4.269213378839164e-05,0.003571176528930664,0.0011306943900828783,entropy,14,1,9,"{'criterion': 'entropy', 'max_depth': 14, 'min_samples_leaf': 1, 'min_samples_split': 9}",0.8074534161490683,0.8,0.84375,0.85,0.7875
303,59,0.8177406832298135,0.02740558959405265,0.0037612438201904295,0.000219235257969398,0.0027283191680908202,0.000496384769985623,gini,12,1,8,"{'criterion': 'gini', 'max_depth': 12, 'min_samples_leaf': 1, 'min_samples_split': 8}",0.8074534161490683,0.79375,0.84375,0.85625,0.7875
558,60,0.8177329192546585,0.0213837043790401,0.003797006607055664,0.0002520407770532606,0.002527189254760742,0.00018049199145481315,entropy,7,2,8,"{'criterion': 'entropy', 'max_depth': 7, 'min_samples_leaf': 2, 'min_samples_split': 8}",0.8136645962732919,0.7875,0.85,0.83125,0.80625
556,61,0.8177329192546583,0.025082619738978185,0.003827810287475586,0.0002923801993611707,0.0027167797088623047,0.00027772803005447945,entropy,7,2,6,"{'criterion': 'entropy', 'max_depth': 7, 'min_samples_leaf': 2, 'min_samples_split': 6}",0.8136645962732919,0.78125,0.85625,0.83125,0.80625
559,61,0.8177329192546583,0.02413012252290026,0.003928852081298828,0.0004392504586931982,0.002531623840332031,0.00020256638518147246,entropy,7,2,9,"{'criterion': 'entropy', 'max_depth': 7, 'min_samples_leaf': 2, 'min_samples_split': 9}",0.8136645962732919,0.78125,0.85,0.8375,0.80625
555,61,0.8177329192546583,0.025082619738978185,0.004753971099853515,0.0014576619659753263,0.0024720191955566405,0.00024347515419076866,entropy,7,2,5,"{'criterion': 'entropy', 'max_depth': 7, 'min_samples_leaf': 2, 'min_samples_split': 5}",0.8136645962732919,0.78125,0.85625,0.83125,0.80625
554,64,0.8165217391304347,0.026926262820703557,0.004944658279418946,0.0016381278307014873,0.0023921966552734376,4.7022672049084803e-05,entropy,7,1,9,"{'criterion': 'entropy', 'max_depth': 7, 'min_samples_leaf': 1, 'min_samples_split': 9}",0.782608695652174,0.7875,0.85,0.8375,0.825
200,65,0.8165139751552795,0.021882645180641373,0.003754997253417969,8.475659432599652e-05,0.0024987220764160155,8.157241432942649e-05,gini,8,1,5,"{'criterion': 'gini', 'max_depth': 8, 'min_samples_leaf': 1, 'min_samples_split': 5}",0.7888198757763976,0.8,0.85,0.83125,0.8125
201,65,0.8165139751552795,0.021882645180641373,0.003788328170776367,0.00014847507011642977,0.0025168418884277343,8.367542473796629e-05,gini,8,1,6,"{'criterion': 'gini', 'max_depth': 8, 'min_samples_leaf': 1, 'min_samples_split': 6}",0.7888198757763976,0.8,0.85,0.83125,0.8125
226,65,0.8165139751552795,0.0242533535846457,0.004516029357910156,0.0001414683193982349,0.003500556945800781,0.0006460065435017951,gini,9,1,6,"{'criterion': 'gini', 'max_depth': 9, 'min_samples_leaf': 1, 'min_samples_split': 6}",0.7888198757763976,0.8,0.85625,0.83125,0.80625
225,65,0.8165139751552795,0.0242533535846457,0.0048697471618652345,0.0009821787842043965,0.0027118682861328124,0.00023367826137671874,gini,9,1,5,"{'criterion': 'gini', 'max_depth': 9, 'min_samples_leaf': 1, 'min_samples_split': 5}",0.7888198757763976,0.8,0.85625,0.83125,0.80625
251,65,0.8165139751552795,0.025813759123805395,0.005071210861206055,0.0009778077621067976,0.0031793594360351564,0.00024151123749074983,gini,10,1,6,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 6}",0.7888198757763976,0.8,0.85625,0.8375,0.8
188,70,0.8165062111801242,0.02558042363937106,0.004531240463256836,0.0009181707387772808,0.0037450790405273438,0.0010379432508520945,gini,7,3,8,"{'criterion': 'gini', 'max_depth': 7, 'min_samples_leaf': 3, 'min_samples_split': 8}",0.7950310559006211,0.79375,0.8625,0.825,0.80625
187,70,0.8165062111801242,0.02558042363937106,0.004726982116699219,0.000853284787448167,0.004068422317504883,0.0005009533584655197,gini,7,3,7,"{'criterion': 'gini', 'max_depth': 7, 'min_samples_leaf': 3, 'min_samples_split': 7}",0.7950310559006211,0.79375,0.8625,0.825,0.80625
185,70,0.8165062111801242,0.02558042363937106,0.004781770706176758,0.0009425154680855897,0.003573036193847656,0.000958128381786545,gini,7,3,5,"{'criterion': 'gini', 'max_depth': 7, 'min_samples_leaf': 3, 'min_samples_split': 5}",0.7950310559006211,0.79375,0.8625,0.825,0.80625
186,70,0.8165062111801242,0.02558042363937106,0.005515432357788086,0.0010190978715990204,0.002837085723876953,0.0007604935988773351,gini,7,3,6,"{'criterion': 'gini', 'max_depth': 7, 'min_samples_leaf': 3, 'min_samples_split': 6}",0.7950310559006211,0.79375,0.8625,0.825,0.80625
579,74,0.8165062111801241,0.021242247375682578,0.004051780700683594,0.0006031680494967313,0.0029618263244628905,0.0005366190596291711,entropy,8,1,9,"{'criterion': 'entropy', 'max_depth': 8, 'min_samples_leaf': 1, 'min_samples_split': 9}",0.7950310559006211,0.7875,0.8375,0.8375,0.825
604,74,0.8165062111801241,0.02087122597188995,0.004248428344726563,0.0005973755209225781,0.0025106430053710937,0.00014300080049177457,entropy,9,1,9,"{'criterion': 'entropy', 'max_depth': 9, 'min_samples_leaf': 1, 'min_samples_split': 9}",0.7950310559006211,0.79375,0.84375,0.8375,0.8125
252,74,0.8165062111801241,0.025580423639371037,0.004775619506835938,0.0006114980353429458,0.0030005455017089845,0.0002705890760012186,gini,10,1,7,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 7}",0.7950310559006211,0.8,0.85625,0.8375,0.79375
227,74,0.8165062111801241,0.02367716354569719,0.004825305938720703,0.0009745326497083572,0.0035698413848876953,0.0010541724643625473,gini,9,1,7,"{'criterion': 'gini', 'max_depth': 9, 'min_samples_leaf': 1, 'min_samples_split': 7}",0.7950310559006211,0.8,0.85625,0.83125,0.8
680,78,0.8164984472049689,0.031893139856294134,0.003875398635864258,0.00024426430125175656,0.0026383399963378906,0.00017699993631841736,entropy,12,2,5,"{'criterion': 'entropy', 'max_depth': 12, 'min_samples_leaf': 2, 'min_samples_split': 5}",0.8012422360248447,0.775,0.8625,0.84375,0.8
