Name,mse_mean,r2_mean,mse_std,r2_std,targets
chatelet,1.7608307322999337e-09,0.985608431361496,-7.2949458699749e-10,0.00320179198405246,CO2_trans
rooselvelt,7.505561237597088e-10,0.9849418360681047,-1.854918233905338e-11,0.0009387088335210958,CO2_trans
auber,8.698607547199342e-10,0.992434202673507,-8.820182556528389e-11,0.00036192433531512247,CO2_trans
chatelet,0.4337111765445913,0.16569925227547944,-0.150254581161615,0.17668551445236225,NO_trans
rooselvelt,1.317236872885636,0.06539047033985645,-0.4598487226904059,0.25306107795190336,NO_trans
auber,2.1856895117975514,0.3144487123754623,-0.5295885739363029,0.0967800004182498,NO_trans
chatelet,1.6548357647353138,0.09589381942535313,-0.005326758272702126,0.11762545465406826,NO2_trans
rooselvelt,11.987847570166881,-0.4311942199350468,-3.5104181345659713,0.304321032309531,NO2_trans
auber,0.08056226500602351,0.14683391171893984,-0.013698414997435682,0.12176019826235213,NO2_trans
chatelet,9295.003100932176,-0.7869554905721358,-596.0758041307745,0.7407488748448031,PM10
rooselvelt,1463.4138568100448,0.15279464513092944,-233.52951961683527,0.10574505433611248,PM10
auber,11718.481897989339,0.037843336970665165,-5617.683335611772,0.03060154509973151,PM10
