Id,rank_test_score,mean_test_score,std_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_penalty,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,split10_test_score,split11_test_score,split12_test_score,split13_test_score,split14_test_score,split15_test_score,split16_test_score,split17_test_score,split18_test_score,split19_test_score,split20_test_score,split21_test_score,split22_test_score,split23_test_score,split24_test_score,split25_test_score,split26_test_score,split27_test_score,split28_test_score,split29_test_score
28,1,0.8326312862753275,0.02483256003156682,0.02308813730875651,0.008055744974584517,0.001979939142862956,0.0005427384216346152,1000.0,l2,"{'C': 1000.0, 'penalty': 'l2'}",0.8201438848920863,0.841726618705036,0.8489208633093526,0.8633093525179856,0.8489208633093526,0.8273381294964028,0.8561151079136691,0.782608695652174,0.8260869565217391,0.8623188405797102,0.8405797101449275,0.8333333333333334,0.8260869565217391,0.8768115942028986,0.855072463768116,0.855072463768116,0.8333333333333334,0.7898550724637681,0.8043478260869565,0.8115942028985508,0.8768115942028986,0.7971014492753623,0.8188405797101449,0.8043478260869565,0.8188405797101449,0.8115942028985508,0.8405797101449275,0.8188405797101449,0.8188405797101449,0.8695652173913043
25,1,0.8326312862753275,0.02483256003156682,0.040074761708577475,0.0057207159380710405,0.003120120366414388,0.0007044527009739128,215.44346900318823,l2,"{'C': 215.44346900318823, 'penalty': 'l2'}",0.8201438848920863,0.841726618705036,0.8489208633093526,0.8633093525179856,0.8489208633093526,0.8273381294964028,0.8561151079136691,0.782608695652174,0.8260869565217391,0.8623188405797102,0.8405797101449275,0.8333333333333334,0.8260869565217391,0.8768115942028986,0.855072463768116,0.855072463768116,0.8333333333333334,0.7898550724637681,0.8043478260869565,0.8115942028985508,0.8768115942028986,0.7971014492753623,0.8188405797101449,0.8043478260869565,0.8188405797101449,0.8115942028985508,0.8405797101449275,0.8188405797101449,0.8188405797101449,0.8695652173913043
22,3,0.8323897403816076,0.025000204058175463,0.03717010815938314,0.002519631980477814,0.0031139532725016276,0.00048651788461727516,46.41588833612773,l2,"{'C': 46.41588833612773, 'penalty': 'l2'}",0.8201438848920863,0.841726618705036,0.8489208633093526,0.8633093525179856,0.8489208633093526,0.8273381294964028,0.8561151079136691,0.782608695652174,0.8260869565217391,0.8623188405797102,0.8405797101449275,0.8333333333333334,0.8260869565217391,0.8768115942028986,0.855072463768116,0.855072463768116,0.8333333333333334,0.7898550724637681,0.8043478260869565,0.8115942028985508,0.8768115942028986,0.7971014492753623,0.8188405797101449,0.8043478260869565,0.8115942028985508,0.8115942028985508,0.8405797101449275,0.8188405797101449,0.8188405797101449,0.8695652173913043
19,4,0.8319066485941681,0.025531753999186668,0.03532381852467855,0.0018782712002124572,0.0029671827952067057,0.00018514872067875685,10.0,l2,"{'C': 10.0, 'penalty': 'l2'}",0.8201438848920863,0.841726618705036,0.8489208633093526,0.8633093525179856,0.8489208633093526,0.8273381294964028,0.8561151079136691,0.782608695652174,0.8260869565217391,0.8623188405797102,0.8405797101449275,0.8333333333333334,0.8260869565217391,0.8768115942028986,0.855072463768116,0.855072463768116,0.8333333333333334,0.7898550724637681,0.7971014492753623,0.8115942028985508,0.8768115942028986,0.7971014492753623,0.8188405797101449,0.8043478260869565,0.8043478260869565,0.8115942028985508,0.8405797101449275,0.8188405797101449,0.8188405797101449,0.8695652173913043
16,5,0.8314235568067284,0.025293411194602804,0.047940754890441896,0.0160131122497909,0.004145137468973796,0.003307676750143485,2.154434690031882,l2,"{'C': 2.154434690031882, 'penalty': 'l2'}",0.8201438848920863,0.841726618705036,0.8489208633093526,0.8633093525179856,0.8489208633093526,0.8273381294964028,0.8561151079136691,0.782608695652174,0.8260869565217391,0.8623188405797102,0.8405797101449275,0.8333333333333334,0.8260869565217391,0.8768115942028986,0.855072463768116,0.855072463768116,0.8333333333333334,0.7898550724637681,0.7971014492753623,0.8115942028985508,0.8695652173913043,0.7971014492753623,0.8188405797101449,0.8043478260869565,0.8043478260869565,0.8115942028985508,0.8405797101449275,0.8115942028985508,0.8188405797101449,0.8695652173913043
13,6,0.8307006568658116,0.024834847360175178,0.06826836268107096,0.015816215530314103,0.007705489794413249,0.0061960829790211796,0.46415888336127775,l2,"{'C': 0.46415888336127775, 'penalty': 'l2'}",0.8201438848920863,0.841726618705036,0.8489208633093526,0.8633093525179856,0.8489208633093526,0.8273381294964028,0.8489208633093526,0.782608695652174,0.8188405797101449,0.855072463768116,0.8405797101449275,0.8333333333333334,0.8333333333333334,0.8695652173913043,0.855072463768116,0.855072463768116,0.8333333333333334,0.782608695652174,0.7971014492753623,0.8115942028985508,0.8695652173913043,0.7971014492753623,0.8260869565217391,0.8043478260869565,0.8043478260869565,0.8115942028985508,0.8405797101449275,0.8115942028985508,0.8188405797101449,0.8695652173913043
10,7,0.8287752406770236,0.024009805557401502,0.06806213855743408,0.01971247510926161,0.008640909194946289,0.007236219529285395,0.1,l2,"{'C': 0.1, 'penalty': 'l2'}",0.8273381294964028,0.8345323741007195,0.8561151079136691,0.8489208633093526,0.841726618705036,0.8201438848920863,0.841726618705036,0.782608695652174,0.8188405797101449,0.855072463768116,0.8260869565217391,0.8260869565217391,0.8333333333333334,0.8695652173913043,0.855072463768116,0.855072463768116,0.8405797101449275,0.7898550724637681,0.7898550724637681,0.8043478260869565,0.8623188405797102,0.7898550724637681,0.8405797101449275,0.7971014492753623,0.8043478260869565,0.8115942028985508,0.8333333333333334,0.8188405797101449,0.8260869565217391,0.8623188405797102
7,8,0.8225106871024919,0.021056123012151592,0.04134661356608073,0.017264850283971477,0.005333129564921061,0.004524024894442566,0.021544346900318832,l2,"{'C': 0.021544346900318832, 'penalty': 'l2'}",0.8273381294964028,0.8057553956834532,0.841726618705036,0.8345323741007195,0.8345323741007195,0.8201438848920863,0.841726618705036,0.7971014492753623,0.8333333333333334,0.8405797101449275,0.8188405797101449,0.8260869565217391,0.8260869565217391,0.8623188405797102,0.8405797101449275,0.8260869565217391,0.8188405797101449,0.7898550724637681,0.7898550724637681,0.8115942028985508,0.8405797101449275,0.782608695652174,0.8333333333333334,0.7898550724637681,0.7898550724637681,0.7971014492753623,0.8260869565217391,0.8333333333333334,0.8333333333333334,0.8623188405797102
4,9,0.816254822229173,0.021344696434155503,0.029489707946777344,0.011622028749653193,0.006029756863911947,0.004519584619032789,0.004641588833612777,l2,"{'C': 0.004641588833612777, 'penalty': 'l2'}",0.7985611510791367,0.8129496402877698,0.8201438848920863,0.8201438848920863,0.8201438848920863,0.7985611510791367,0.8345323741007195,0.8043478260869565,0.8115942028985508,0.8405797101449275,0.8043478260869565,0.8405797101449275,0.8115942028985508,0.8768115942028986,0.8333333333333334,0.8260869565217391,0.7971014492753623,0.7898550724637681,0.7971014492753623,0.8043478260869565,0.8260869565217391,0.8115942028985508,0.8260869565217391,0.7608695652173914,0.782608695652174,0.8260869565217391,0.8333333333333334,0.8260869565217391,0.8115942028985508,0.8405797101449275
1,10,0.7692506864073958,0.012733417881388757,0.023454117774963378,0.008897931897152786,0.0062800168991088865,0.004545272869938713,0.001,l2,"{'C': 0.001, 'penalty': 'l2'}",0.7482014388489209,0.762589928057554,0.7482014388489209,0.7410071942446043,0.7697841726618705,0.7697841726618705,0.762589928057554,0.7753623188405797,0.7536231884057971,0.7681159420289855,0.7681159420289855,0.7681159420289855,0.7971014492753623,0.7898550724637681,0.7681159420289855,0.7681159420289855,0.7681159420289855,0.7536231884057971,0.782608695652174,0.7681159420289855,0.7681159420289855,0.7681159420289855,0.7898550724637681,0.7753623188405797,0.7753623188405797,0.7681159420289855,0.7898550724637681,0.7681159420289855,0.782608695652174,0.7608695652173914
