Id,rank_test_score,mean_test_score,std_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_splitter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,split10_test_score,split11_test_score,split12_test_score,split13_test_score,split14_test_score,split15_test_score,split16_test_score,split17_test_score,split18_test_score,split19_test_score,split20_test_score,split21_test_score,split22_test_score,split23_test_score,split24_test_score,split25_test_score,split26_test_score,split27_test_score,split28_test_score,split29_test_score
491,1,0.832641712716783,0.020863566986911917,0.005687133471171061,0.0004920003806639792,0.0026618003845214843,0.00020314421046141868,gini,9,5,5,random,"{'criterion': 'gini', 'max_depth': 9, 'min_samples_leaf': 5, 'min_samples_split': 5, 'splitter': 'random'}",0.841726618705036,0.8489208633093526,0.8273381294964028,0.8489208633093526,0.841726618705036,0.8201438848920863,0.8345323741007195,0.7898550724637681,0.8188405797101449,0.8768115942028986,0.855072463768116,0.8695652173913043,0.8478260869565217,0.8188405797101449,0.8333333333333334,0.8695652173913043,0.8115942028985508,0.8115942028985508,0.8115942028985508,0.8188405797101449,0.8260869565217391,0.8043478260869565,0.855072463768116,0.8115942028985508,0.8188405797101449,0.8333333333333334,0.855072463768116,0.8115942028985508,0.8260869565217391,0.8405797101449275
541,2,0.8324036423035484,0.027559184319470575,0.006189711888631185,0.001713383057002444,0.0032813390096028644,0.0023358339153391446,gini,10,5,5,random,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 5, 'min_samples_split': 5, 'splitter': 'random'}",0.8201438848920863,0.8705035971223022,0.8489208633093526,0.8561151079136691,0.7985611510791367,0.8129496402877698,0.841726618705036,0.8043478260869565,0.8260869565217391,0.8985507246376812,0.8115942028985508,0.8695652173913043,0.8188405797101449,0.8695652173913043,0.8333333333333334,0.8840579710144928,0.8188405797101449,0.8115942028985508,0.782608695652174,0.8115942028985508,0.8188405797101449,0.7898550724637681,0.8260869565217391,0.8260869565217391,0.8405797101449275,0.8405797101449275,0.8623188405797102,0.8043478260869565,0.8405797101449275,0.8333333333333334
1207,3,0.8306954436450841,0.025492114882552392,0.005587228139241536,0.00047938091843409506,0.002714355786641439,0.0003091785198410795,entropy,9,1,8,random,"{'criterion': 'entropy', 'max_depth': 9, 'min_samples_leaf': 1, 'min_samples_split': 8, 'splitter': 'random'}",0.841726618705036,0.8705035971223022,0.8345323741007195,0.8561151079136691,0.8345323741007195,0.8345323741007195,0.8489208633093526,0.8043478260869565,0.8333333333333334,0.8768115942028986,0.8333333333333334,0.8695652173913043,0.8043478260869565,0.8478260869565217,0.8478260869565217,0.8695652173913043,0.8260869565217391,0.8043478260869565,0.7753623188405797,0.8188405797101449,0.8333333333333334,0.7898550724637681,0.8188405797101449,0.8333333333333334,0.8188405797101449,0.8478260869565217,0.8478260869565217,0.7898550724637681,0.8115942028985508,0.7971014492753623
1291,4,0.8302175650783721,0.026948370143719008,0.005998770395914714,0.0017580039310518326,0.0031085570653279623,0.0022200161688756517,entropy,10,5,5,random,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_leaf': 5, 'min_samples_split': 5, 'splitter': 'random'}",0.8345323741007195,0.8489208633093526,0.841726618705036,0.8633093525179856,0.8345323741007195,0.8273381294964028,0.8489208633093526,0.8188405797101449,0.8188405797101449,0.8913043478260869,0.8478260869565217,0.8623188405797102,0.8333333333333334,0.8333333333333334,0.8260869565217391,0.8768115942028986,0.8188405797101449,0.8188405797101449,0.7536231884057971,0.8188405797101449,0.8115942028985508,0.7898550724637681,0.8260869565217391,0.8115942028985508,0.7971014492753623,0.8405797101449275,0.8695652173913043,0.8188405797101449,0.8043478260869565,0.8188405797101449
413,5,0.8299829701456225,0.027230506929072397,0.005864246686299642,0.002602913574803747,0.0029498497645060223,0.0022030674361945045,gini,8,2,6,random,"{'criterion': 'gini', 'max_depth': 8, 'min_samples_leaf': 2, 'min_samples_split': 6, 'splitter': 'random'}",0.8489208633093526,0.8561151079136691,0.8345323741007195,0.841726618705036,0.8057553956834532,0.841726618705036,0.841726618705036,0.7971014492753623,0.8188405797101449,0.8478260869565217,0.8188405797101449,0.8768115942028986,0.8405797101449275,0.8623188405797102,0.8478260869565217,0.8623188405797102,0.8478260869565217,0.8043478260869565,0.7536231884057971,0.8333333333333334,0.8188405797101449,0.7681159420289855,0.8333333333333334,0.8043478260869565,0.8115942028985508,0.8333333333333334,0.8695652173913043,0.8260869565217391,0.8115942028985508,0.8405797101449275
595,6,0.829744899732388,0.023034964809141686,0.005850998560587565,0.0018176888428006466,0.002579498291015625,0.00017712094043812433,gini,11,5,7,random,"{'criterion': 'gini', 'max_depth': 11, 'min_samples_leaf': 5, 'min_samples_split': 7, 'splitter': 'random'}",0.8273381294964028,0.8561151079136691,0.8345323741007195,0.8345323741007195,0.8201438848920863,0.8273381294964028,0.8561151079136691,0.7971014492753623,0.8188405797101449,0.8840579710144928,0.8405797101449275,0.8623188405797102,0.8260869565217391,0.8478260869565217,0.8333333333333334,0.8478260869565217,0.8333333333333334,0.8333333333333334,0.7608695652173914,0.8260869565217391,0.8115942028985508,0.782608695652174,0.8405797101449275,0.8188405797101449,0.8115942028985508,0.8478260869565217,0.8333333333333334,0.8188405797101449,0.8260869565217391,0.8333333333333334
399,7,0.8297448997323879,0.018292691020715787,0.005115342140197754,0.000312852027035624,0.002609586715698242,0.0002753994091406657,gini,7,5,9,random,"{'criterion': 'gini', 'max_depth': 7, 'min_samples_leaf': 5, 'min_samples_split': 9, 'splitter': 'random'}",0.841726618705036,0.8561151079136691,0.841726618705036,0.8273381294964028,0.8129496402877698,0.8345323741007195,0.841726618705036,0.8115942028985508,0.8188405797101449,0.8478260869565217,0.8405797101449275,0.8333333333333334,0.8333333333333334,0.8405797101449275,0.8623188405797102,0.8405797101449275,0.8043478260869565,0.7898550724637681,0.8043478260869565,0.8260869565217391,0.8405797101449275,0.7971014492753623,0.8260869565217391,0.8115942028985508,0.8188405797101449,0.8333333333333334,0.8405797101449275,0.8260869565217391,0.8188405797101449,0.8695652173913043
1135,8,0.8294877141764849,0.02945947530493627,0.005487386385599772,0.0006860042671845171,0.0031264861424763995,0.0010819947892766137,entropy,7,4,7,random,"{'criterion': 'entropy', 'max_depth': 7, 'min_samples_leaf': 4, 'min_samples_split': 7, 'splitter': 'random'}",0.8633093525179856,0.8345323741007195,0.841726618705036,0.841726618705036,0.8273381294964028,0.8561151079136691,0.8561151079136691,0.782608695652174,0.8188405797101449,0.8840579710144928,0.8188405797101449,0.8333333333333334,0.855072463768116,0.8695652173913043,0.8333333333333334,0.8840579710144928,0.8188405797101449,0.8043478260869565,0.7536231884057971,0.8188405797101449,0.8405797101449275,0.782608695652174,0.8115942028985508,0.7971014492753623,0.8260869565217391,0.8260869565217391,0.8405797101449275,0.7971014492753623,0.8115942028985508,0.855072463768116
483,9,0.8292652834254336,0.024978115824426484,0.007848342259724935,0.003937590770305196,0.003251036008199056,0.002322468089115049,gini,9,4,6,random,"{'criterion': 'gini', 'max_depth': 9, 'min_samples_leaf': 4, 'min_samples_split': 6, 'splitter': 'random'}",0.8129496402877698,0.8561151079136691,0.8345323741007195,0.841726618705036,0.8273381294964028,0.8345323741007195,0.8345323741007195,0.8043478260869565,0.8115942028985508,0.8768115942028986,0.8333333333333334,0.8623188405797102,0.8405797101449275,0.8260869565217391,0.8768115942028986,0.855072463768116,0.8188405797101449,0.8188405797101449,0.7608695652173914,0.8260869565217391,0.8405797101449275,0.7753623188405797,0.8188405797101449,0.8115942028985508,0.8188405797101449,0.8115942028985508,0.8478260869565217,0.8333333333333334,0.8115942028985508,0.855072463768116
1149,10,0.8290237375317137,0.02552425852985148,0.005438709259033203,0.0005888343586606137,0.002653956413269043,0.00038736867538560304,entropy,7,5,9,random,"{'criterion': 'entropy', 'max_depth': 7, 'min_samples_leaf': 5, 'min_samples_split': 9, 'splitter': 'random'}",0.8273381294964028,0.8489208633093526,0.8489208633093526,0.841726618705036,0.8057553956834532,0.8345323741007195,0.8345323741007195,0.7898550724637681,0.8188405797101449,0.8695652173913043,0.8478260869565217,0.8333333333333334,0.8188405797101449,0.8985507246376812,0.8188405797101449,0.8695652173913043,0.8260869565217391,0.8260869565217391,0.7971014492753623,0.8260869565217391,0.8043478260869565,0.7753623188405797,0.855072463768116,0.7971014492753623,0.8333333333333334,0.8188405797101449,0.855072463768116,0.8115942028985508,0.8115942028985508,0.8260869565217391
1329,11,0.8290080978695306,0.029254751903921968,0.005979665120442708,0.0007695027157869543,0.003337454795837402,0.002218548028159196,entropy,11,3,9,random,"{'criterion': 'entropy', 'max_depth': 11, 'min_samples_leaf': 3, 'min_samples_split': 9, 'splitter': 'random'}",0.8489208633093526,0.8633093525179856,0.8489208633093526,0.8345323741007195,0.8273381294964028,0.8273381294964028,0.8561151079136691,0.7971014492753623,0.8260869565217391,0.8840579710144928,0.8115942028985508,0.855072463768116,0.8333333333333334,0.855072463768116,0.8695652173913043,0.8985507246376812,0.8333333333333334,0.7971014492753623,0.782608695652174,0.7898550724637681,0.8043478260869565,0.7898550724637681,0.8333333333333334,0.7898550724637681,0.8115942028985508,0.8260869565217391,0.8478260869565217,0.8043478260869565,0.7971014492753623,0.8260869565217391
485,12,0.8287804538977513,0.026668211255769243,0.005653166770935058,0.0004163849047976221,0.0027322292327880858,0.00024723144008555414,gini,9,4,7,random,"{'criterion': 'gini', 'max_depth': 9, 'min_samples_leaf': 4, 'min_samples_split': 7, 'splitter': 'random'}",0.8345323741007195,0.8345323741007195,0.8489208633093526,0.8489208633093526,0.8129496402877698,0.8201438848920863,0.8489208633093526,0.8260869565217391,0.8188405797101449,0.8768115942028986,0.8115942028985508,0.8405797101449275,0.855072463768116,0.8623188405797102,0.8478260869565217,0.8623188405797102,0.8043478260869565,0.7971014492753623,0.7391304347826086,0.8260869565217391,0.8695652173913043,0.8043478260869565,0.8260869565217391,0.8115942028985508,0.8260869565217391,0.8260869565217391,0.8115942028985508,0.8188405797101449,0.8043478260869565,0.8478260869565217
1129,13,0.8287787161575088,0.02208132030225909,0.00510703722635905,0.00022330863088098127,0.0027121225992838543,0.00019165597204625942,entropy,7,3,9,random,"{'criterion': 'entropy', 'max_depth': 7, 'min_samples_leaf': 3, 'min_samples_split': 9, 'splitter': 'random'}",0.8489208633093526,0.8345323741007195,0.8489208633093526,0.8489208633093526,0.8057553956834532,0.8273381294964028,0.841726618705036,0.7898550724637681,0.8188405797101449,0.855072463768116,0.8115942028985508,0.8405797101449275,0.8478260869565217,0.8695652173913043,0.8478260869565217,0.8333333333333334,0.8405797101449275,0.7898550724637681,0.8043478260869565,0.8333333333333334,0.7971014492753623,0.7898550724637681,0.8260869565217391,0.8188405797101449,0.8188405797101449,0.8405797101449275,0.855072463768116,0.8260869565217391,0.7971014492753623,0.855072463768116
495,14,0.8285389080040315,0.022052032475234754,0.005825241406758626,0.0018942142847909382,0.00256044864654541,0.00013311956626240978,gini,9,5,7,random,"{'criterion': 'gini', 'max_depth': 9, 'min_samples_leaf': 5, 'min_samples_split': 7, 'splitter': 'random'}",0.8273381294964028,0.8489208633093526,0.8561151079136691,0.841726618705036,0.8057553956834532,0.8201438848920863,0.8489208633093526,0.7971014492753623,0.8260869565217391,0.8695652173913043,0.8188405797101449,0.8695652173913043,0.8333333333333334,0.855072463768116,0.8333333333333334,0.855072463768116,0.8188405797101449,0.8115942028985508,0.8043478260869565,0.8188405797101449,0.8260869565217391,0.7753623188405797,0.8260869565217391,0.8043478260869565,0.8188405797101449,0.8405797101449275,0.8405797101449275,0.7971014492753623,0.8188405797101449,0.8478260869565217
