Id,rank_test_score,mean_test_score,std_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_neighbors,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,split10_test_score,split11_test_score,split12_test_score,split13_test_score,split14_test_score,split15_test_score,split16_test_score,split17_test_score,split18_test_score,split19_test_score,split20_test_score,split21_test_score,split22_test_score,split23_test_score,split24_test_score,split25_test_score,split26_test_score,split27_test_score,split28_test_score,split29_test_score
22,1,0.8338407534841691,0.022411352077308187,0.007889310518900553,0.0008331238938599418,0.014075080553690592,0.0013798726065608208,23,{'n_neighbors': 23},0.841726618705036,0.8705035971223022,0.841726618705036,0.8561151079136691,0.8129496402877698,0.8489208633093526,0.8273381294964028,0.8188405797101449,0.8333333333333334,0.8913043478260869,0.8405797101449275,0.8695652173913043,0.8478260869565217,0.855072463768116,0.8333333333333334,0.855072463768116,0.8260869565217391,0.8115942028985508,0.782608695652174,0.8333333333333334,0.8333333333333334,0.8043478260869565,0.8115942028985508,0.8115942028985508,0.8333333333333334,0.8260869565217391,0.8260869565217391,0.8043478260869565,0.8188405797101449,0.8478260869565217
24,2,0.8333559239564869,0.025428388121219947,0.008129477500915527,0.0009831623206079973,0.013875126838684082,0.0013671107986531043,25,{'n_neighbors': 25},0.841726618705036,0.8705035971223022,0.8345323741007195,0.8633093525179856,0.8201438848920863,0.8489208633093526,0.8273381294964028,0.8115942028985508,0.8405797101449275,0.8913043478260869,0.8478260869565217,0.8695652173913043,0.8478260869565217,0.8623188405797102,0.8333333333333334,0.855072463768116,0.8260869565217391,0.8115942028985508,0.7681159420289855,0.8260869565217391,0.8260869565217391,0.8043478260869565,0.8188405797101449,0.7971014492753623,0.8333333333333334,0.8333333333333334,0.8405797101449275,0.7971014492753623,0.8043478260869565,0.8478260869565217
26,3,0.8331126403225244,0.02547263326383043,0.008146381378173828,0.0010190317128181013,0.014330124855041504,0.0018021605823036809,27,{'n_neighbors': 27},0.8489208633093526,0.8633093525179856,0.8489208633093526,0.8705035971223022,0.8273381294964028,0.8273381294964028,0.8273381294964028,0.7971014492753623,0.8260869565217391,0.8913043478260869,0.8478260869565217,0.8695652173913043,0.8405797101449275,0.855072463768116,0.8405797101449275,0.855072463768116,0.8260869565217391,0.8115942028985508,0.7898550724637681,0.8260869565217391,0.8405797101449275,0.7971014492753623,0.8115942028985508,0.7898550724637681,0.8260869565217391,0.8260869565217391,0.8333333333333334,0.8043478260869565,0.8043478260869565,0.8695652173913043
21,4,0.8328710944288048,0.024380930592062384,0.00793473720550537,0.0011390425582071281,0.01366124947865804,0.0017075777614566376,22,{'n_neighbors': 22},0.8489208633093526,0.8633093525179856,0.841726618705036,0.8705035971223022,0.8201438848920863,0.841726618705036,0.8273381294964028,0.8188405797101449,0.8333333333333334,0.8913043478260869,0.8405797101449275,0.8695652173913043,0.8478260869565217,0.8623188405797102,0.8405797101449275,0.855072463768116,0.8260869565217391,0.8043478260869565,0.7898550724637681,0.8260869565217391,0.8333333333333334,0.8043478260869565,0.8115942028985508,0.7898550724637681,0.8188405797101449,0.8188405797101449,0.8478260869565217,0.8115942028985508,0.7971014492753623,0.8333333333333334
20,5,0.8326364994960553,0.023490437402536365,0.007801707585652669,0.0012366649614294562,0.013579241434733073,0.001623222960833445,21,{'n_neighbors': 21},0.841726618705036,0.8633093525179856,0.841726618705036,0.8633093525179856,0.8129496402877698,0.8345323741007195,0.8273381294964028,0.8188405797101449,0.8188405797101449,0.8913043478260869,0.8333333333333334,0.8695652173913043,0.8405797101449275,0.8623188405797102,0.8405797101449275,0.855072463768116,0.8260869565217391,0.8043478260869565,0.7898550724637681,0.8188405797101449,0.8333333333333334,0.8043478260869565,0.8188405797101449,0.7971014492753623,0.8405797101449275,0.8115942028985508,0.8260869565217391,0.8260869565217391,0.8043478260869565,0.8623188405797102
23,6,0.8326347617558125,0.02297375385050453,0.007835721969604493,0.00080207112462476,0.013358569145202637,0.0010067467531305163,24,{'n_neighbors': 24},0.841726618705036,0.8705035971223022,0.841726618705036,0.8561151079136691,0.8129496402877698,0.841726618705036,0.8273381294964028,0.8115942028985508,0.8260869565217391,0.8913043478260869,0.8478260869565217,0.8623188405797102,0.8478260869565217,0.8623188405797102,0.8333333333333334,0.855072463768116,0.8188405797101449,0.8115942028985508,0.7971014492753623,0.8333333333333334,0.8115942028985508,0.7971014492753623,0.8188405797101449,0.8043478260869565,0.8405797101449275,0.8260869565217391,0.8405797101449275,0.8115942028985508,0.7971014492753623,0.8405797101449275
28,7,0.8323949536023355,0.025721124499613907,0.008060582478841146,0.0012191041357918601,0.014729007085164388,0.0018173255636582761,29,{'n_neighbors': 29},0.841726618705036,0.8633093525179856,0.8489208633093526,0.8633093525179856,0.8273381294964028,0.8129496402877698,0.8273381294964028,0.8043478260869565,0.8115942028985508,0.8913043478260869,0.8478260869565217,0.8695652173913043,0.8405797101449275,0.8695652173913043,0.8333333333333334,0.8478260869565217,0.8405797101449275,0.8115942028985508,0.782608695652174,0.8260869565217391,0.8405797101449275,0.8043478260869565,0.8115942028985508,0.7898550724637681,0.8260869565217391,0.8405797101449275,0.8333333333333334,0.7971014492753623,0.8043478260869565,0.8623188405797102
19,8,0.8316668404406911,0.02546127070596801,0.00831462542215983,0.001813184785914462,0.014448992411295573,0.0015483089248196531,20,{'n_neighbors': 20},0.8489208633093526,0.8705035971223022,0.8345323741007195,0.8705035971223022,0.8273381294964028,0.8273381294964028,0.8201438848920863,0.8188405797101449,0.8333333333333334,0.8913043478260869,0.855072463768116,0.8623188405797102,0.8478260869565217,0.8623188405797102,0.8405797101449275,0.855072463768116,0.8188405797101449,0.7971014492753623,0.7898550724637681,0.8260869565217391,0.8188405797101449,0.8043478260869565,0.8115942028985508,0.7898550724637681,0.8478260869565217,0.8115942028985508,0.8260869565217391,0.8043478260869565,0.7971014492753623,0.8405797101449275
18,9,0.8302227782991,0.025560304209018652,0.00802143414815267,0.0012065654513000069,0.013472207387288411,0.0012776154378702977,19,{'n_neighbors': 19},0.841726618705036,0.8776978417266187,0.8345323741007195,0.8633093525179856,0.8057553956834532,0.8345323741007195,0.8201438848920863,0.8115942028985508,0.8333333333333334,0.8913043478260869,0.8405797101449275,0.8623188405797102,0.855072463768116,0.855072463768116,0.8333333333333334,0.8478260869565217,0.8188405797101449,0.8115942028985508,0.7898550724637681,0.8260869565217391,0.8260869565217391,0.8043478260869565,0.8188405797101449,0.7971014492753623,0.8405797101449275,0.8188405797101449,0.8115942028985508,0.7971014492753623,0.782608695652174,0.855072463768116
27,10,0.8302210405588571,0.02381606374961378,0.007885885238647462,0.001428661330700763,0.014018758138020834,0.0015535524913238737,28,{'n_neighbors': 28},0.841726618705036,0.8633093525179856,0.841726618705036,0.8633093525179856,0.8201438848920863,0.8273381294964028,0.8273381294964028,0.7971014492753623,0.8188405797101449,0.8840579710144928,0.8478260869565217,0.8623188405797102,0.8188405797101449,0.8623188405797102,0.8333333333333334,0.8478260869565217,0.8188405797101449,0.8115942028985508,0.7898550724637681,0.8188405797101449,0.8333333333333334,0.7898550724637681,0.8115942028985508,0.7971014492753623,0.8405797101449275,0.8333333333333334,0.8260869565217391,0.8115942028985508,0.8043478260869565,0.8623188405797102
