Id,rank_test_score,mean_test_score,std_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_splitter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score
196,7,0.8152872670807453,0.03748343480170641,0.006364345550537109,0.000572676364803254,0.0033827781677246093,0.00026989326879246853,gini,3,5,8,best,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 5, 'min_samples_split': 8, 'splitter': 'best'}",0.7701863354037267,0.79375,0.88125,0.80625,0.825
192,7,0.8152872670807453,0.03748343480170641,0.0066944599151611325,0.001977321185402874,0.005958127975463867,0.0024571140061198336,gini,3,5,6,best,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 5, 'min_samples_split': 6, 'splitter': 'best'}",0.7701863354037267,0.79375,0.88125,0.80625,0.825
182,7,0.8152872670807453,0.03748343480170641,0.007609653472900391,0.00506060354648591,0.003748798370361328,0.0011508014352840468,gini,3,4,6,best,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 6, 'splitter': 'best'}",0.7701863354037267,0.79375,0.88125,0.80625,0.825
194,7,0.8152872670807453,0.03748343480170641,0.007882785797119141,0.0014729554416114431,0.008159494400024414,0.00453117564566655,gini,3,5,7,best,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 5, 'min_samples_split': 7, 'splitter': 'best'}",0.7701863354037267,0.79375,0.88125,0.80625,0.825
168,7,0.8152872670807453,0.03748343480170641,0.008475875854492188,0.0068573149647951515,0.010057497024536132,0.006187362245252805,gini,3,2,9,best,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 9, 'splitter': 'best'}",0.7701863354037267,0.79375,0.88125,0.80625,0.825
160,7,0.8152872670807453,0.03748343480170641,0.010359430313110351,0.007044748102414056,0.013649845123291015,0.0089780698203196,gini,3,2,5,best,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 5, 'splitter': 'best'}",0.7701863354037267,0.79375,0.88125,0.80625,0.825
190,7,0.8152872670807453,0.03748343480170641,0.014544010162353516,0.007383495621616467,0.006905746459960937,0.006274175566549332,gini,3,5,5,best,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 5, 'min_samples_split': 5, 'splitter': 'best'}",0.7701863354037267,0.79375,0.88125,0.80625,0.825
1341,27,0.8152639751552796,0.03346841941278444,0.004431581497192383,0.0002904301810101061,0.0026404857635498047,0.00018808521202017182,entropy,11,5,5,random,"{'criterion': 'entropy', 'max_depth': 11, 'min_samples_leaf': 5, 'min_samples_split': 5, 'splitter': 'random'}",0.7888198757763976,0.81875,0.8625,0.8375,0.76875
419,27,0.8152639751552796,0.03637664220334315,0.00537567138671875,0.0014355350296050195,0.003213834762573242,0.0006942271416605978,gini,8,2,9,random,"{'criterion': 'gini', 'max_depth': 8, 'min_samples_leaf': 2, 'min_samples_split': 9, 'splitter': 'random'}",0.7888198757763976,0.80625,0.86875,0.84375,0.76875
914,29,0.814052795031056,0.04111624144729064,0.004355335235595703,5.692756714585095e-05,0.0056095123291015625,0.003260950663419148,entropy,3,2,7,best,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 7, 'splitter': 'best'}",0.7577639751552795,0.79375,0.88125,0.80625,0.83125
928,29,0.814052795031056,0.04111624144729064,0.004430007934570312,0.000126507998463368,0.0029215335845947264,0.000153881741649032,entropy,3,3,9,best,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_leaf': 3, 'min_samples_split': 9, 'splitter': 'best'}",0.7577639751552795,0.79375,0.88125,0.80625,0.83125
